Ticker,Last Price,Last Price (1 Week),Last Price (1 Year),Last Price,Mkt Cap,Revenue,PM,Ind Group,Ind Sector,BEst EPS,52W High,52W Low,Dividend Per Share Ind Annual - Net,Dvd P/O,Ticker,ROE,BEst NAV,Beta,SA ESG Risk Score,SA ESG Risk Percentile Universe,StandrdAndPoor Glbl ESG Rnk,ESG Disc Score,Env Disc Sc,Gov Disc Sc,Soc Disc Sc,MSCI ESG Rating,ESG Scr,Number of Employees,Volatil 30D,Volatil 60D,Volatility 180 Day,Volatil 360D,Tot Assets,Net Debt,Total Liab,Debt/MC
BROADRIDGE FINL,186.46,186.46,186.46,186.46,21929407883,6060.9,10.40439539,Software,Technology,0.837,189.51,131.89,3.2,54.17063114,BR,33.41217478,2076.667,1.01843369,16.633175,16.15,72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,3.91,14700,21.51634269,17.78800792,19.86475952,25.22869733,8233.2,3400.3,5992.6,0.178477231
BERKSHIRE HATH-B,361.89,361.89,361.89,361.89,7.87126E+11,234190,-9.743797771,Insurance,Financial,3.781,373.34,292.45,#N/A Field Not Applicable,#N/A N/A,BRK/B,15.66397488,531563.5,0.874946117,26.16906875,54.31,34,31.75736847,0.332225914,83.02227574,11.72914148,BB,1.24,382651,13.18360987,12.28394067,13.5792292,18.22761316,948452,-362873,467835,#N/A Field Not Applicable
BROWN & BROWN,74.39,74.39,74.39,74.39,21171232648,3573.4,18.80002239,Insurance,Financial,0.531,74.62,52.83,0.52,17.68320437,BRO,15.56791772,5316,0.975197554,20.48230703,30.11,35,34.19173121,0.332225914,84.97892836,17.07980653,BBB,#N/A Field Not Applicable,15201,20.14001514,18.26029684,18.64281663,25.72873451,13973.5,3521,9366.9,0.185695376
BOSTON SCIENTIFC,55.495,55.495,55.495,55.495,81247944812,12682,5.503863744,Healthcare-Products,"Consumer, Non-cyclical",0.513,55.825,42.73,#N/A Field Not Applicable,0,BSX,6.521382029,19681.455,0.882618427,23.24717375,41.67,96,70.40539181,64.42162489,97.50150512,49.18379686,BBB,5.55,45000,19.98737642,25.02732603,21.61730369,21.8869424,32469,8415,14897,0.114452126
BORGWARNER INC,34.68,34.68,34.68,34.68,8144670615,15801,5.974305424,Auto Parts&Equipment,"Consumer, Cyclical",0.937,47.045,31.67,0.44,16.96398305,BWA,11.57617795,5918.857,1.05980742,12.11489375,5.26,76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5,52700,49.60457765,39.45064416,34.99976659,33.70899193,16994,3011,9486,0.457722623
BLACKSTONE INC,106.54,106.54,106.54,106.54,1.28803E+11,8517.673,20.51770478,Private Equity,Financial,1.075,116.76,71.72,3.2,186.4765369,BX,24.41735397,17523.5,1.541933894,24.9514875,49.19,81,26.50638769,9.845967986,58.910295,10.64087062,BB,2.49,4695,42.32777604,35.28565475,33.71415576,42.01603817,42524.227,9212.804,22843.16,0.10165109
BOSTON PROPERTIE,54,54,54,54,8466868761,3108.581,27.30979183,REITS,Financial,0.641,79.36,46.19,3.92,72.3679947,BXP,3.217645854,5793.818,1.019200921,12.515175,5.87,96,52.42933307,34.85351857,93.73871162,28.53688029,AA,6.23,780,51.54414087,44.91843892,43.02211962,37.59318624,24207.669,14004.024,15837.237,1.837301657
CITIGROUP INC,44.945,44.945,44.945,44.945,85933298792,101078,14.68667762,Banks,Financial,1.095,53.23,38.175,2.12,28.91393296,C,6.656330414,166432.273,0.999574363,28.9562375,65.42,81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,4.1,240000,26.17584839,22.92505962,26.99520695,29.17241768,2416676,-3255,2214838,8.886066411
CONAGRA BRANDS I,28.26,28.26,28.26,28.26,13497812959,12277,5.568135538,Food,"Consumer, Non-cyclical",0.68,41.29,25.17,1.4,92.47337624,CAG,12.43099006,9216.2,0.581905603,30.79045361,72.17,80,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.02,18600,20.06075181,21.58775935,18.17336414,20.06080832,22052.6,9373.7,13245.3,0.687044637
CARDINAL HEALTH,105.94,105.94,105.94,105.94,26103439966,205012,0.127309621,Pharmaceuticals,"Consumer, Non-cyclical",1.586,106.35,68.57,2.0024,198,CAH,#N/A N/A,-3239,0.780686617,14.85560313,10.95,94,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,3.84,47040,25.91091113,20.49835568,20.7783977,23.31001004,43417,1133,46268,0.179210097
CARRIER GLOB,52.81,52.81,52.81,52.81,44268097508,20421,17.30571471,Building Materials,Industrial,0.52,60.035,40.29,0.74,14.31918506,CARR,15.63641106,8787.833,1.189035892,20.26294188,29.31,84,61.54310432,47.44790094,100,37.03143894,AA,5.49,52000,31.49277359,30.51012212,30.6333552,31.54018989,26086,5983,18010,0.208954089
CATERPILLAR INC,245.85,245.85,245.85,245.85,1.25194E+11,59427,11.28275027,Machinery-Constr&Mining,Industrial,4.755,293.85,204.04,5.2,37.01266219,CAT,50.51552106,19095.417,0.994471967,36.17422062,86.7,97,58.86731717,36.69586228,93.73871162,46.03990326,A,4.63,109100,35.15723331,28.49079169,30.03269044,31.25301788,81943,3579,66052,0.296651312
CHUBB LTD,226.89,226.89,226.89,226.89,92523949068,43166,12.3082982,Insurance,Financial,5.028,231.21,183.41,3.44,25.95520422,CB,14.0783106,65749.111,0.715933621,23.63869375,43.21,62,41.61553164,17.81938991,93.73871162,13.08948005,BBB,2.39,34000,20.74934516,17.34549353,20.61261866,21.78543901,199144,13806,148604,0.165286935
CBOE GLOBAL MARK,179.77,179.77,179.77,179.77,18975800143,1741.7,13.49256474,Diversified Finan Serv,Financial,1.979,180.09,116.11,2.2,22.53073336,CBOE,19.96865337,3852.5,0.593931973,20.88761957,31.69,87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,7.75,1543,19.71945019,17.94735127,17.88786458,20.8795662,6998.9,1365.2,3533.6,0.087506191
CBRE GROUP INC-A,78.67,78.67,78.67,78.67,23962810015,30828.246,4.565196476,Real Estate,Financial,1.33,89.57,64.67,#N/A Field Not Applicable,0,CBRE,7.553981176,7850,1.089624524,8.291475,1.69,99,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,#N/A Field Not Applicable,115000,33.87366226,31.03608744,29.34070033,30.69442638,20513.389,2265.077,11907.657,0.244711784
CROWN CASTLE INC,102.78,102.78,102.78,102.78,44570204451,6986,23.97652448,REITS,Financial,0.728,153.89,84.77,6.26,154.5874627,CCI,21.61973794,6484.222,0.969596744,10.09675882,2.87,65,51.38316065,31.95409242,93.73871162,28.29504232,AAA,4.45,5000,37.58109257,30.70016176,27.79571954,29.37790825,38921,27804,31472,0.6445786
CARNIVAL CORP,14.455,14.455,14.455,14.455,18090730027,12168,-50.0739645,Leisure Time,"Consumer, Cyclical",-0.141,19.55,7.535,#N/A Field Not Applicable,#N/A N/A,CCL,-21.17478323,6792.5,1.789147019,24.49382875,47.25,75,62.83070114,53.21655089,100,35.12696493,B,#N/A Field Not Applicable,85000,52.3518168,46.60317013,51.12576576,66.25987144,51703,31852,44638,1.803630918
CERIDIAN HCM HOL,67.83,67.83,67.83,67.83,10585411346,1246.2,-5.889905312,Software,Technology,0.319,79.62,55.63,#N/A Field Not Applicable,#N/A N/A,CDAY,0.185266668,2384.2,1.497228503,19.79726,27.64,91,45.88069611,28.14859559,84.97892836,24.36517533,AA,4.43,8526,46.25305548,37.13654474,37.16380236,45.39997708,7917.2,824,5807.8,0.117756406
CADENCE DESIGN,270.715,270.715,270.715,270.715,73686632390,3561.718,23.83546367,Software,Technology,1.345,274.32,155,#N/A Field Not Applicable,0,CDNS,32.89705879,3256,1.187161446,12.020345,5.1,89,52.51986722,38.53820598,84.97892836,33.91777509,AA,4.06,10228,23.72054349,26.01622933,27.67011529,30.94125121,5137.071,41.827,2391.958,0.008804867
CDW CORP/DE,216.54,216.54,216.54,216.54,29007778303,23748.7,4.692888453,Internet,Communications,2.554,219.71,160.75,2.48,25.35379094,CDW,69.85969388,1982.8,0.971991479,8.97335,2.05,61,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,4.62,15100,21.25780091,19.42596197,27.09302227,27.24816609,13131.5,5814.6,11528.2,0.202369859
CELANESE CORP,131.36,131.36,131.36,131.36,14285063565,9673,19.58027499,Chemicals,Basic Materials,2.327,131.9,97.25,2.8,15.61311381,CE,35.46892754,7017.5,1.27241087,26.12788188,54.17,67,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,4.58,13263,36.23222148,31.80896001,32.48614876,37.61419178,26272,13618,20167,0.982354747
CONSTELLATION EN,123.5,123.5,123.5,123.5,39446831791,24440,-0.654664484,Electric,Utilities,1.738,127.02,71.16,1.128,#N/A N/A,CEG,15.06965152,#N/A N/A,0.931385815,32.66722513,77.9,48,46.02152701,35.57837511,81.21613486,21.1305925,BBB,2.5,3342,34.15139332,30.60985228,24.76068698,33.44070203,46909,5240,35537,0.206733966
CF INDUSTRIES HO,75.75,75.75,75.75,75.75,14453424301,11186,29.91239049,Chemicals,Basic Materials,1.64,109.775,60.085,1.6,9.145248057,CF,41.52650733,5481.333,0.637673736,29.67316438,68.22,79,69.26868524,54.96828753,93.73871162,59.00846433,BBB,4.94,2700,25.31783185,31.19176035,32.8075129,39.25111983,13313,902,5460,0.224652645
CITIZENS FINANCI,26.7,26.7,26.7,26.7,12434166530,9069,25.84465777,Banks,Financial,0.812,44.82,22.77,1.68,39.33953573,CFG,8.882935599,22902.556,1.140157461,23.54144688,42.81,72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,3.7,18889,48.57438435,39.72942941,44.91697251,38.85563116,226733,6106,203043,1.414328814
CHURCH & DWIGHT,93.95,93.95,93.95,93.95,23120461731,5375.6,7.699605625,Household Products/Wares,"Consumer, Non-cyclical",0.645,100.51,77.55,1.09,61.60908432,CHD,11.29963946,4058.857,0.651423633,21.8130375,35.67,64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.44,5250,24.64086476,23.18140499,18.67780223,21.46334071,8345.6,2577,4855.7,0.111169925
CH ROBINSON,82.63,82.63,82.63,82.63,9636542167,24696.625,3.80830984,Transportation,Industrial,0.838,108.04,78.705,2.44,30.50905665,CHRW,25.32969734,1402.167,0.790479898,18.33601379,21.88,83,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,5.1,17399,25.70393076,24.50325565,26.41986919,28.48514894,5954.564,2143.686,4601.142,0.20257453
CHARTER COMMUN-A,404.91,404.91,404.91,404.91,69784845268,54022,9.357298878,Media,Communications,9.009,458.15,302.63,#N/A Field Not Applicable,0,CHTR,46.98053735,15514.308,1.096366525,24.17747,45.85,75,38.71843879,9.272123226,84.40698374,22.3095526,BBB,4.67,101700,41.69596625,34.83497935,31.95282638,37.92719079,144523,98172,131974,1.40143608
THE CIGNA GROUP,287.81,287.81,287.81,287.81,84195542817,180516,3.693855392,Pharmaceuticals,"Consumer, Non-cyclical",6.536,340.11,240.5,4.92,21.03376125,CI,11.69157519,45694.429,0.609976709,14.20425,9.33,100,63.49461825,47.84053156,93.73871162,48.79081016,AA,3.81,71300,26.04140759,21.57747625,26.15064794,24.9031243,143932,24724,98981,0.369853308
CINCINNATI FIN,101.85,101.85,101.85,101.85,15973990435,6557,-7.411926186,Insurance,Financial,1.869,130.62,95.06,3,#N/A N/A,CINF,16.68411867,#N/A N/A,0.821674347,23.33543125,41.98,48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BB,1.93,5148,22.60217133,20.03971067,24.64609594,30.23396322,29732,-373,19170,0.054400934
COLGATE-PALMOLIV,77.21,77.21,77.21,77.21,63510819198,17967,9.934880614,Cosmetics/Personal Care,"Consumer, Non-cyclical",0.849,82.08,67.63,1.92,87.15428571,CL,#N/A N/A,48.75,0.600835323,26.17291375,54.32,94,70.20420481,64.51223195,93.73871162,52.26723096,A,5.68,33800,17.1743314,16.04393416,14.63689485,17.39525068,15731,8321,14925,0.137362423
CLOROX CO,140.24,140.24,140.24,140.24,17396807313,7389,2.01651103,Household Products/Wares,"Consumer, Non-cyclical",1.092,178.2,114.75,4.8,391.2751678,CLX,#N/A N/A,158.367,0.828782082,21.62861875,34.91,79,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.82,8700,28.71864798,28.73810973,24.49600234,26.54274299,5945,2587,5557,0.184114242
COMERICA INC,43.51,43.51,43.51,43.51,5731192410,3740,32.56932654,Banks,Financial,1.383,77.26,28.4,2.84,31.72905526,CMA,25.30029218,4189.818,1.192198634,25.1887625,50.2,77,61.09043356,51.76683781,93.73871162,37.63603386,N.S.,5.34,7488,51.60656918,41.69135738,71.7446904,56.3312909,85406,16,80225,1.895068116
COMCAST CORP-A,42.52,42.52,42.52,42.52,1.70985E+11,121427,4.422410172,Media,Communications,0.789,47.45,33.79,1.16,88.58472998,CMCSA,18.60042597,83243.533,0.859156728,23.09351406,40.96,84,56.55366663,38.44759891,93.73871162,37.3337364,BBB,2.65,186000,34.07630122,26.80882422,24.61289047,28.23469638,257275,102016,175237,0.56922408
CME GROUP INC,216.23,216.23,216.23,216.23,77792682149,5019.4,53.6119855,Diversified Finan Serv,Financial,2.205,221.45,164.7,4.4,114.747121,CME,10.67755982,28480.625,0.718000352,17.40781875,18.55,81,39.86520471,13.65146481,84.97892836,20.7980653,BBB,7.22,3460,18.74357665,16.29433813,17.75812651,19.6076792,174175.7,1131.7,147297,0.050040697
CHIPOTLE MEXICAN,2214.05,2214.05,2214.05,2214.05,60763849473,8634.652,10.41270685,Retail,"Consumer, Cyclical",9.631,2223.24,1347.39,#N/A N/A,0,CMG,44.89629716,2963.929,1.070747972,20.65761156,30.83,79,54.8234584,42.70613108,91.24021674,30.3808948,BBB,4.26,104958,20.07226678,20.82701964,26.52895345,30.93817656,6927.504,2832.274,4559.481,0.066126176
CUMMINS INC,224.2,224.2,224.2,224.2,31774945939,28074,7.661893567,Auto Manufacturers,"Consumer, Cyclical",4.47,265.2,203.2,6.72,39.74895397,CMI,29.38333859,12084,0.951472819,18.94977406,24.33,98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,4.89,73600,20.96881902,20.08255835,25.44149579,25.54202646,30299,5782,20074,0.250826548
CMS ENERGY CORP,57.07,57.07,57.07,57.07,16633440955,8596,9.737087017,Electric,Utilities,1.025,65.7,49.91,1.95,64.72417983,CMS,10.82704564,7309.6,0.696438491,21.698975,35.26,79,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.38,8560,18.04045388,21.55969241,20.41884441,22.49070292,31353,14158,23758,0.929873743
CENTENE CORP,74.3,74.3,74.3,74.3,39680450280,144547,0.831563436,Healthcare-Services,"Consumer, Non-cyclical",0.415,87.84,60.84,#N/A Field Not Applicable,0,CNC,9.646162651,25180.75,0.753641069,19.89098125,27.97,95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,4.96,74300,19.75525984,21.63010496,26.95899689,28.71045717,76870,6938,52633,0.481521754
CENTERPOINT ENER,27.68,27.68,27.68,27.68,17403806026,9321,11.33998498,Electric,Utilities,0.335,31.5,25.43,0.8,43.68055556,CNP,8.485042053,10414.75,0.776705801,28.73478444,64.62,54,57.39865205,46.87405618,91.24021674,33.94800484,BBB,5.05,8986,20.45828948,21.62536679,19.66122211,21.82416288,38546,16708,28491,1.062641124
CAPITAL ONE FINA,106.56,106.56,106.56,106.56,40537330305,38373,19.18015271,Diversified Finan Serv,Financial,2.704,123.07,83.93,2.4,13.48665531,COF,10.76350447,54498,1.202661753,22.50036875,38.45,81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,3.95,56000,38.12892898,30.70426784,31.37443086,37.22582036,455249,17859,402667,1.214855533
COOPER COS INC,338.91,338.91,338.91,338.91,16764172057,3308.4,11.66122597,Healthcare-Products,"Consumer, Non-cyclical",3.485,346.64,304.08,0.06,0.766718507,COO,3.768342094,7656,#N/A N/A,17.4681955,18.72,84,45.26707575,32.82996074,84.97892836,17.83555018,AA,7.01,14000,26.39034249,24.76114308,#N/A N/A,#N/A N/A,11492.3,2866.2,4317.6,0.154752647
CONOCOPHILLIPS,114.52,114.52,114.52,114.52,1.36006E+11,78494,23.7979973,Oil&Gas,Energy,2.59,130.53,91.62,0.58,34.03318908,COP,23.13269437,48214,0.814958632,33.95425078,81.33,93,67.20651846,60.34430686,93.73871162,47.43047158,AA,6.33,9500,26.2217129,27.81669625,28.71770575,35.37334363,93829,7945,45826,0.140163237
CENCORA INC,199.77,199.77,199.77,199.77,39842674395,262173.411,0.665701756,Pharmaceuticals,"Consumer, Non-cyclical",2.876,200.43,147.56,2.04,22.8004189,COR,371.1816873,961.5,0.688524663,12.75336563,6.26,95,58.62589277,46.87405618,93.73871162,35.12696493,AA,4.35,39000,16.35333569,15.93201869,15.84144358,19.619576,62558.746,2195.406,61892.459,0.120159027
COSTCO WHOLESALE,589.17,589.17,589.17,589.17,2.60814E+11,242290,2.596888027,Retail,"Consumer, Cyclical",3.392,599.79,447.9,4.08,27.08835601,COST,27.53610503,26133.429,0.978669584,26.3166725,54.87,61,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,3.2,158000,19.70651677,17.55413143,16.62054036,22.70638174,68994,-6001,43936,0.035400701
CAMPBELL SOUP CO,40.89,40.89,40.89,40.89,12160832632,9357,9.169605643,Food,"Consumer, Non-cyclical",0.874,57.75,37.94,1.48,51.57575758,CPB,24.5423341,3745,0.450286508,23.49972969,42.65,95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,6.61,14500,19.24757731,21.42715038,20.93322185,20.96270861,12058,4778,8395,0.408442427
COPART INC,50.84,50.84,50.84,50.84,48798961882,3869.518,31.98695548,Distribution/Wholesale,"Consumer, Cyclical",0.347,51.49,29.615,#N/A Field Not Applicable,0,CPRT,23.51545611,6411,1.028811336,16.03306875,14.31,50,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,#N/A Field Not Applicable,6900,26.13074417,23.3010571,22.07023357,25.15348915,6737.879,-2243.531,750.439,0.00272266
CAMDEN PROP TR,88.17,88.17,88.17,88.17,9414017233,1427.944,45.77301351,REITS,Financial,0.428,127.52,82.81,4,61.90127797,CPT,4.574229433,4845.333,0.939651847,16.09047813,14.48,50,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,4.38,1650,35.01400994,27.62148996,23.0512652,25.07867433,9327.935,3678.626,4271.014,0.388051977
CHARLES RIVER LA,195.58,195.58,195.58,195.58,10032628926,3976.06,12.22883961,Healthcare-Services,"Consumer, Non-cyclical",2.419,261.9,161.65,#N/A N/A,0,CRL,16.01086561,3443.75,1.288701653,18.88755806,24.01,76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,#N/A Field Not Applicable,20000,44.68679002,36.9131372,33.44085529,39.62887882,7602.77,2913.567,4579.265,0.289520725
SALESFORCE INC,223.95,223.95,223.95,223.95,2.17884E+11,31352,0.66343455,Software,Technology,2.065,238.18,126.34,#N/A Field Not Applicable,0,CRM,2.670502623,60157.593,1.344892502,14.87584,11,98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,4.46,79390,23.5799821,21.84391469,24.6498044,36.16129568,98849,2371,40490,0.063561377
CISCO SYSTEMS,48.16,48.16,48.16,48.16,1.95656E+11,56998,22.12884663,Telecommunications,Communications,0.84,58.18,45.555,1.56,49.96432252,CSCO,31.77511055,46445.8,0.839236379,13.86913875,8.53,100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.42,84900,34.63882213,26.76588598,21.8085825,23.25001688,101852,-16735,57499,0.04442994
COSTAR GROUP INC,83.98,83.98,83.98,83.98,34261686575,2182.399,16.92875592,Commercial Services,"Consumer, Non-cyclical",0.318,92.36,65.12,#N/A Field Not Applicable,0,CSGP,5.785655807,7312.6,1.214397669,21.78009788,35.58,56,47.68131979,32.55813953,84.97892836,25.36275695,BB,2.76,5653,35.34904644,29.55229789,28.06848286,32.08302216,8402.47,-3862.39,1532.349,0.032335594
CSX CORP,32.525,32.525,32.525,32.525,64224258638,14853,28.04820575,Transportation,Industrial,0.442,34.38,27.605,0.44,20.50888142,CSX,30.99419916,11877.4,0.909260094,21.90792788,36.08,97,62.23719948,65.23708849,91.24021674,30.10882709,A,6.3,22542,18.94733595,18.74872624,19.74813254,23.68918734,41912,16517,29287,0.295044278
CINTAS CORP,554.7,554.7,554.7,554.7,56498479255,8815.769,15.29089521,Commercial Services,"Consumer, Non-cyclical",3.49,558.36,424,5.4,34.68572192,CTAS,37.73460398,4238.286,1.063700914,17.11441688,17.64,81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,4.74,44500,13.90791309,19.57992397,18.36434422,21.68911685,8546.356,2544.244,4682.37,0.047122596
CATALENT INC,39.64,39.64,39.64,39.64,7136958226,4276,-5.425631431,Healthcare-Services,"Consumer, Non-cyclical",-0.023,74.49,31.49,#N/A Field Not Applicable,#N/A N/A,CTLT,0.899839314,3899.5,1.314802885,22.45171384,38.26,88,54.5216779,45.45454545,84.97892836,33.01088271,BBB,#N/A Field Not Applicable,17900,73.62116264,55.55195354,73.55231743,69.12279595,10782,4569,6147,0.679421099
COTERRA ENERGY I,26.6,26.6,26.6,26.6,20008298954,9051,44.9121644,Oil&Gas,Energy,0.662,29.88,22.255,0.8,48.75867159,CTRA,17.60452688,13089.813,0.909735143,36.06546071,86.49,35,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,4.98,981,19.85210301,25.24989652,28.61553834,35.90217863,20154,1926,7484,0.127697012
COGNIZANT TECH-A,70.75,70.75,70.75,70.75,35474937630,19428,11.78711139,Computers,Technology,1.038,72.68,54.25,1.16,24.42969432,CTSH,16.81964573,13216,0.991522908,14.656425,10.48,79,50.54823458,30.23255814,97.50150512,23.73035067,A,4.23,355300,21.89770193,18.74774152,23.42598462,29.03207547,17852,-954,5543,0.040732982
CORTEVA INC,46.3,46.3,46.3,46.3,32625370800,17455,6.571183042,Biotechnology,"Consumer, Non-cyclical",0.107,67.52,43.22,0.64,32.30141079,CTVA,3.726782504,24999,0.831450641,36.49885063,87.32,92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,6.94,#N/A N/A,37.92878684,29.58536264,26.14890093,27.41371291,42618,-1558,17077,0.180810206
CVS HEALTH CORP,69.14,69.14,69.14,69.14,88898815885,322467,1.286643284,Pharmaceuticals,"Consumer, Non-cyclical",1.965,104.6,64.41,2.42,69.56857074,CVS,11.86043304,76492.667,0.707416713,22.0139375,36.5,99,64.23901016,52.31048022,93.73871162,46.55380895,A,3.9,219000,22.00739677,22.32634379,25.91949412,25.77180583,228275,55009,156960,0.90097938
CHEVRON CORP,143.89,143.89,143.89,143.89,2.7159E+11,235717,15.04558432,Oil&Gas,Energy,3.685,187.81,140.72,6.04,31.25898773,CVX,15.72056985,163100,0.72290349,36.75905187,87.85,79,61.70405392,45.54515252,93.73871162,45.70737606,A,5.42,43846,31.22754987,26.61435582,23.74942334,27.79940177,257709,9469,97467,0.075698552
CAESARS ENTERTAI,46.31,46.31,46.31,46.31,9980933441,10821,-8.307919786,Entertainment,"Consumer, Cyclical",0.284,60.25,38.33,#N/A N/A,#N/A N/A,CZR,16.82065861,4843.286,1.842771053,21.732775,35.37,91,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,6.28,49000,53.45701787,47.31125072,44.81716956,55.43563362,33527,25099,29776,2.506779566
DOMINION ENERGY,46.5,46.5,46.5,46.5,38834630892,17174,5.787818796,Electric,Utilities,0.526,63.94,39.18,2.67,223.331269,D,6.248703686,28526.5,0.701827705,28.78769425,64.82,66,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.66,17200,31.91953913,31.56811081,25.20762598,25.94088987,104243,46078,76362,1.078650654
DELTA AIR LI,35.989,35.989,35.989,35.989,23145379685,50582,2.605670001,Airlines,"Consumer, Cyclical",1.143,49.8,30.61,0.4,0,DAL,49.21829763,9552.5,1.239532232,30.25665047,70.32,80,60.58746605,57.29386892,93.73871162,30.59250302,AA,4.98,95000,32.29225039,30.04921677,31.0958196,33.9796106,72288,24076,65706,1.157855277
DUPONT DE NEMOUR,71.13,71.13,71.13,71.13,30576021181,13017,45.07951141,Chemicals,Basic Materials,0.843,78.74,62.8,1.44,65.02173913,DD,19.02608908,24259.667,1.063890576,28.00270875,61.67,81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5.82,23000,31.3779032,25.25653931,24.67832151,28.1162267,41355,4732,14338,0.284536695
DEERE & CO,370.94,370.94,370.94,370.94,1.06937E+11,61251,16.59728004,Machinery-Diversified,Industrial,5.893,450,345.57,5.4,14.51514853,DE,48.3554118,22712.6,1.0060215,19.94597188,28.15,94,60.90936526,47.81032921,93.73871162,41.05199516,AA,5.48,82239,23.44255184,23.58227467,27.06672409,28.44210269,104087,2616,82201,0.592972563
DISCOVER FINANCI,86.18,86.18,86.18,86.18,21544993403,15202,28.8909354,Diversified Finan Serv,Financial,2.534,122.5,79.04,2.8,14.93959108,DFS,26.56569481,13378.538,1.1388129,22.79180938,39.53,71,46.21265466,29.26608275,87.47742324,21.73518742,AA,4.06,20200,35.05300634,30.17654562,38.03732112,36.38007223,131628,11252,117038,0.903550984
DOLLAR GENERAL C,124.8,124.8,124.8,124.8,27366524411,37844.863,6.383928514,Retail,"Consumer, Cyclical",1.229,260.07,101.09,2.36,20.50198076,DG,34.73463015,6395.3,0.688057721,17.93386531,20.31,64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,2.74,170000,36.87081017,46.04423979,40.84500745,33.38050741,29083.367,17279.523,23541.595,0.659047555
QUEST DIAGNOSTIC,135.9,135.9,135.9,135.9,15258553443,9883,9.57199231,Healthcare-Services,"Consumer, Non-cyclical",2.139,158.33,119.65,2.84,32.50955414,DGX,11.99052133,6620.333,0.708957732,21.11253477,32.69,97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,#N/A Field Not Applicable,40000,22.20274304,19.54906994,18.58048172,21.07690942,12837,4307,6907,0.321917803
DR HORTON INC,126.97,126.97,126.97,126.97,42267769686,35460.4,13.38309777,Home Builders,"Consumer, Cyclical",2.871,132.19,81.33,1.2,7.189666435,DHI,22.54891014,23305.1,1.176927686,21.02592469,32.33,81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,2.51,13450,30.9009303,32.8568266,28.670875,33.81349188,32582.4,1269,9444.5,0.121667172
DANAHER CORP,220.88,220.88,220.88,220.88,1.63E+11,31471,22.90680309,Healthcare-Products,"Consumer, Non-cyclical",1.876,249.3326,182.09,1.08,10.20836266,DHR,12.02161189,53411.125,1.060223937,11.684425,4.62,88,56.32230158,43.00815464,91.24021674,34.5828295,AA,4.52,79000,31.38692456,26.42115888,25.27227328,29.47982029,84350,14744,34260,0.141472453
WALT DISNEY CO/T,95.14,95.14,95.14,95.14,1.74008E+11,88898,2.647978582,Media,Communications,1.078,117.9,78.74,#N/A Field Not Applicable,0,DIS,2.423244203,101475,1.133519888,15.69850156,13.37,92,52.96247862,45.84717608,84.97892836,27.93228537,A,4.23,171600,30.09046347,26.68069962,27.58485117,33.22298073,205579,32249,92567,0.266832353
DIGITAL REALTY,137.15,137.15,137.15,137.15,42368302777,4691.834,8.053801562,REITS,Financial,0.223,138,86.35,4.88,414.4521025,DLR,5.238818401,19027.143,1.043919683,12.5135625,5.85,95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.13,3412,30.66874366,28.46871422,33.4077606,35.0197555,41484.998,17926.074,21862.854,0.431319756
